Ag�ncia Nacional de �guas - ANA
Superintend�ncia de Gest�o da Rede Hidrometeorol�gica-SGH
Sistema de Informa��es Hidrol�gicas - Vers�o WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluvi�metro, 2 = Pluvi�grafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restri��es da consulta:
C�digo da Esta��o:2346353


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2346353;1;01/02/1993;1;"60,5";"293,4";19;20;1;1;1;"0,0";0;"15,5";"0,0";"13,7";"26,6";"2,1";"0,0";"0,0";"4,0";"1,3";"0,0";"0,3";"3,0";"10,3";"0,0";"13,6";"23,8";"17,3";"24,4";"60,5";"29,4";"0,0";"7,9";"20,6";"8,7";"0,1";"0,0";"0,0";"10,3";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
2346353;1;01/01/1993;1;"37,6";"261,8";19;18;1;1;1;"0,0";0;"0,0";"0,0";"0,2";"14,8";"2,0";"7,6";"19,5";"0,0";"5,7";"27,2";"9,4";"8,3";"9,9";"28,2";"0,0";"0,0";"0,0";"6,5";"37,6";"0,0";"1,3";"0,0";"0,0";"0,0";"17,2";"4,1";"26,0";"0,0";"0,0";"0,0";"36,3";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2346353;1;01/12/1992;1;"48,8";"182,00002";11;11;1;1;1;"0,0";0;"5,4";"30,9";"0,0";"0,0";"0,0";"0,0";"15,2";"0,0";"0,0";"0,0";"48,8";"33,5";"0,0";"2,6";"0,0";"0,0";"0,0";"3,8";"0,0";"0,0";"31,3";"8,0";"1,0";"0,0";"0,0";"1,5";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2346353;1;01/11/1992;1;"47,2";"148,0";26;15;1;1;1;"0,0";0;"0,0";"0,6";"0,0";"36,7";"4,7";"0,9";"3,7";"0,0";"4,6";"1,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"19,4";"0,1";"0,0";"0,0";"0,0";"10,0";"8,3";"0,0";"7,5";"47,2";"2,1";"0,4";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2346353;1;01/10/1992;1;"22,9";"155,6";17;17;1;1;1;"0,0";0;"0,0";"2,1";"9,5";"4,1";"0,5";"0,0";"8,4";"3,1";"2,7";"0,0";"0,0";"11,3";"19,2";"0,0";"0,1";"0,0";"22,9";"0,0";"21,5";"0,0";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"14,6";"7,4";"22,7";"5,1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2346353;1;01/09/1992;1;"38,2";"118,49999";16;19;1;1;1;"0,0";0;"0,0";"1,1";"0,5";"0,0";"2,9";"0,4";"16,8";"2,0";"0,3";"0,0";"0,0";"1,5";"14,6";"0,0";"21,9";"38,2";"0,0";"0,2";"1,0";"0,0";"0,0";"0,1";"1,5";"0,0";"2,9";"8,6";"0,0";"3,4";"0,6";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2346353;1;01/08/1992;1;"9,7";"31,800003";23;10;1;1;1;"0,0";0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"0,0";"0,0";"0,0";"0,1";"0,1";"0,0";"1,7";"0,0";"0,0";"0,0";"0,0";"1,0";"5,2";"0,0";"0,0";"9,1";"9,7";"4,6";"0,0";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2346353;1;01/07/1992;1;"14,7";"26,500002";7;13;1;1;1;"0,0";0;"0,1";"0,0";"0,1";"0,0";"0,0";"0,0";"14,7";"3,1";"4,6";"0,0";"0,1";"0,0";"0,1";"0,0";"0,0";"0,0";"0,7";"1,4";"0,0";"0,0";"0,0";"0,0";"0,5";"0,9";"0,0";"0,0";"0,1";"0,1";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2346353;1;01/06/1992;1;"3,2";"5,3";22;9;1;1;1;"0,0";0;"0,6";"0,0";"0,2";"0,0";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,3";"0,0";"0,0";"0,0";"0,1";"0,0";"0,1";"0,0";"0,1";"0,0";"0,0";"3,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,5";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2346353;1;01/05/1992;1;"19,3";"49,1";4;10;1;1;1;"0,0";0;"0,0";"9,6";"0,0";"19,3";"0,2";"0,2";"0,0";"0,0";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,0";"0,0";"0,0";"2,9";"6,1";"0,0";"0,0";"10,5";"0,0";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
